Tipo via,Via,Codice via,count
ALZ,NAVIGLIO GRANDE,5144.0,2.0
ALZ,NAVIGLIO PAVESE,5161.0,4.0
BST,DI PORTA NUOVA,1062.0,1.0
BST,DI PORTA VOLTA,1066.0,3.0
CSO,15,9.0,1.0
CSO,BUENOS AIRES,2129.0,17.0
CSO,COLOMBO CRISTOFORO,5114.0,4.0
CSO,COMO,,
CSO,COMO,1111.0,5.0
CSO,CONCORDIA,3116.0,5.0
CSO,DI PORTA NUOVA,1044.0,2.0
CSO,DI PORTA ROMANA,402.0,16.0
CSO,DI PORTA TICINESE,541.0,3.0
CSO,DI PORTA VIGENTINA,4026.0,4.0
CSO,DI PORTA VITTORIA,3016.0,11.0
CSO,GARIBALDI GIUSEPPE,1010.0,10.0
CSO,GARIBALDI GIUSEPPE,1063.0,1.0
CSO,GARIBALDI GIUSEPPE,7121.0,1.0
CSO,GENOVA,5164.0,4.0
CSO,INDIPENDENZA,3118.0,3.0
CSO,ITALIA,526.0,7.0
CSO,LODI,4068.0,26.0
CSO,MAGENTA,604.0,10.0
CSO,MAGENTA,609.0,1.0
CSO,MATTEOTTI GIACOMO,218.0,3.0
CSO,MONFORTE,348.0,4.0
CSO,PLEBISCITI,3120.0,2.0
CSO,SAN GOTTARDO,5203.0,7.0
CSO,SEMPIONE,7137.0,8.0
CSO,VENEZIA,238.0,8.0
CSO,VENTIDUE MARZO,3074.0,12.0
CSO,VERCELLI,6193.0,9.0
CSO,VITTORIO EMANUELE II,214.0,5.0
FOR,BUONAPARTE,711.0,5.0
GLL,BUENOS AIRES,2146.0,2.0
GLL,PASSARELLA,303.0,2.0
GLL,SAN BABILA,360.0,1.0
GLL,UNIONE,510.0,5.0
LGO,BRASILIA,6145.0,1.0
LGO,CORSIA DEI SERVI,234.0,1.0
LGO,DEI GELSOMINI,5394.0,3.0
LGO,DELLA CROCETTA,654.0,1.0
LGO,DOMODOSSOLA,6140.0,1.0
LGO,F.LLI CERVI,2218.0,1.0
LGO,GIAMBELLINO,5395.0,1.0
LGO,MURANI ORESTE,3234.0,1.0
LGO,PROMESSI SPOSI,5415.0,2.0
LGO,RICHINI FRANCESCO,331.0,3.0
LGO,SCALABRINI GIOVANNI BATTISTA,5392.0,3.0
LGO,SCHUSTER ILDEFONSO,311.0,1.0
LGO,SETTIMIO SEVERO,6210.0,2.0
LGO,TEL AVIV,2639.0,2.0
LGO,TOSCANINI ARTURO,97.0,3.0
LGO,VULCI,1339.0,3.0
LGO,ZANDONAI RICCARDO,6485.0,1.0
PAS,DUOMO,102.0,1.0
PLE,ARDUINO,6365.0,1.0
PLE,BACONE FRANCESCO,2100.0,2.0
PLE,BAIAMONTI ANTONIO,7235.0,1.0
PLE,BARACCA FRANCESCO,6180.0,2.0
PLE,BIANCAMANO,7083.0,1.0
PLE,CADORNA LUIGI,601.0,4.0
PLE,CANTORE ANTONIO,5103.0,2.0
PLE,CHIESA DAMIANO,7164.0,1.0
PLE,CORVETTO LUIGI EMANUELE,4174.0,1.0
PLE,CUOCO VINCENZO,3163.0,1.0
PLE,DATEO,3119.0,1.0
PLE,DI PORTA LODOVICA,4039.0,1.0
PLE,F.LLI ZAVATTARI,6537.0,3.0
PLE,FERRARA,4158.0,2.0
PLE,GAMBARA VERONICA,6593.0,1.0
PLE,GIOVANNI DALLE BANDE NERE,6614.0,1.0
PLE,GIULIO CESARE,6361.0,1.0
PLE,GORINI PAOLO,3170.0,1.0
PLE,GOVERNO PROVVISORIO DI LOMBARDIA,2331.0,1.0
PLE,ISTRIA,1347.0,3.0
PLE,LAGOSTA,1155.0,4.0
PLE,LAVATER,2155.0,1.0
PLE,LORETO,2264.0,2.0
PLE,LUGANO,1238.0,3.0
PLE,MACIACHINI CARLO,1361.0,4.0
PLE,MARTESANA,2707.0,1.0
PLE,MARTINI FERDINANDO,3219.0,3.0
PLE,NIGRA COSTANTINO,1236.0,1.0
PLE,PERRUCCHETTI GIUSEPPE,6632.0,1.0
PLE,SIENA,6616.0,5.0
PLE,STAZIONE DI PORTA GENOVA,5120.0,2.0
PLE,SUSA,3101.0,3.0
PTA,BOSSI MAURILIO,116.0,1.0
PTA,GIORDANO UMBERTO,345.0,1.0
PTA,PATTARI,299.0,1.0
PZA,ADIGRAT,3286.0,1.0
PZA,AMATI CARLO,6629.0,1.0
PZA,ANGILBERTO II,4278.0,1.0
PZA,ARGENTINA,2233.0,1.0
PZA,ASPARI DOMENICO,3173.0,2.0
PZA,ASPROMONTE,2246.0,3.0
PZA,BAZZI GIOVANNI ANTONIO,6102.0,2.0
PZA,BELFANTI SERAFINO,5270.0,1.0
PZA,BETTINI LIONELLO,6653.0,1.0
PZA,BOLIVAR SIMONE,6129.0,3.0
PZA,BONOMELLI GEREMIA,4150.0,2.0
PZA,BORROMEO,631.0,1.0
PZA,BRUZZANO,1655.0,1.0
PZA,BUOZZI BRUNO,4221.0,1.0
PZA,CAIAZZO,2259.0,3.0
PZA,CARRARA FRANCESCO,5258.0,1.0
PZA,CARTAGINE,3327.0,1.0
PZA,CASTELLI POMPEO,7277.0,2.0
PZA,CHIARADIA ENRICO,4252.0,3.0
PZA,CINCINNATO,2125.0,1.0
PZA,CINQUE GIORNATE,3053.0,4.0
PZA,DE ANGELI ERNESTO,6276.0,9.0
PZA,DEI MERCANTI,546.0,1.0
PZA,DEI VOLONTARI,7143.0,1.0
PZA,DEL DUOMO,1.0,1.0
PZA,DEL ROSARIO,5088.0,1.0
